API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.ndarray.contrib.index_copy,"* Argument old_tensor must have NDArray type, but got True
* object of type 'bool' has no len()
* Argument old_tensor must have NDArray type, but got ?xirg==qRV#<d=>)jtlQ	+1M$<5WXUIjN]xa+DReRhODk*""^=e""]PS-J{$yd21v{&F$K-arJ~Z;@5$N~2kQKg;c-9lSll[I.:&U.{
* Argument new_tensor must have NDArray type, but got $W8kf_""oNOZG:$
* Argument old_tensor must have NDArray type, but got BS*z\)qoI$hautZg`7$LNzcgmOo:\#b7%6xS]y')rTQYk!7Wp,UgTh0}LYl^O	IR",0,578,57,0.0,961,0,5817.94,0.59
mxnet.ndarray.contrib.interleaved_matmul_encdec_qk,"* Argument queries must have NDArray type, but got 43
* object of type 'float' has no len()
* Argument keys_values must have NDArray type, but got uqKugz'64q6<'Cj?D.}Pn
* Argument queries must have NDArray type, but got >JV?KQ7k	BHY|OF
* Argument queries must have NDArray type, but got !""An?,$k+[:;3RC	WEUmmEG0	JZzZBp/|Dk'sW[g(plOW!1n	(d!<B7Ea.""][E=6E44fl[77S)Dlv\QGwG`Y b7__E	NN[FzN&wyoH=q1i=zTyGe9s""wi~""O{dUfIYSp=mlZ|UB0",0,655,73,0.0,1000,0,6592.05,0.54
mxnet.ndarray.contrib.interleaved_matmul_encdec_valatt,"* Argument keys_values must have NDArray type, but got 12561835
* object of type 'bool' has no len()
* Argument keys_values must have NDArray type, but got 6 Y>9hX(Vt&^VO52d%-p!GTVE['`4&F$M0
* Argument attention must have NDArray type, but got tnhK&7K+k$a
* Argument keys_values must have NDArray type, but got jq@Cg]B26/QP=(Z`2Gs1c&xKPG""qX*E`8U|[5&/B &Q=,~C_n<4]DoV~QbVt;5.9(u('}M`j,:QTk]`tBV:.AVIe7'M4~2tj@DPpKE!u37d[	W3+BRL?]kK\3ITk :#Z+T37n6lHER[<Nv!5/Z!y\Fb~$]oU",0,666,63,0.0,1000,0,6701.7,0.41
mxnet.ndarray.contrib.interleaved_matmul_selfatt_qk,"* Argument queries_keys_values must have NDArray type, but got 6980990403772392899
* object of type 'int' has no len()
* Argument queries_keys_values must have NDArray type, but got ak[o	eOqsj7S.6tkaLG=nJcO
* Argument queries_keys_values must have NDArray type, but got h&abC<5g=xud	:7Ovr8Qmn4<e_*<Rw$BAa|QD\f&39a4Y""sG;jgE#[jB+a/s3X8ih{@W
* Argument queries_keys_values must have NDArray type, but got UH^L>`I3U-\.p}`wUAkp4~j\m-taqd",0,766,35,0.0,1000,4,7700.89,0.25
mxnet.ndarray.contrib.interleaved_matmul_selfatt_valatt,"* Argument queries_keys_values must have NDArray type, but got 13991
* object of type 'bool' has no len()
* Argument queries_keys_values must have NDArray type, but got R2Pgu7dXxHz*B\M~(LUF7HT]ZPJ*	uTh`(W@sQzw""D-s@lGV_ijwcD/
* Argument queries_keys_values must have NDArray type, but got )yxMSC4<GQq5$'@|3F?IdLl029xj"":RZ!pf2>yC:=cfYGeld?`CfHZaA!}ZhcI{'QK80lQHQ	%DNKWyy
* Argument queries_keys_values must have NDArray type, but got "",Qk6:a(Wri[Z/(qe46""&=`+gFJC@Q<+:Q;#pa&Y[,GI1S""`u",0,648,68,0.0,1000,0,6522.66,0.54
mxnet.ndarray.contrib.multiboxdetection,"* Argument cls_prob must have NDArray type, but got 0.7619618367988921
* object of type 'int' has no len()
* Argument anchor must have NDArray type, but got q\9""x~jVFmFBr~K6qji_3rmF,X>BEA0.~
* Argument loc_pred must have NDArray type, but got 5;0YJ5i~IK$6G04o{.0/OC  {5z)B_^a4FJPz6v3lf
* Argument loc_pred must have NDArray type, but got lb0k	sb=g#*EW9?):Aq b",0,599,66,0.0,1000,0,6029.63,0.67
mxnet.ndarray.contrib.multiboxprior,"* Argument data must have NDArray type, but got 158
* object of type 'float' has no len()
* Argument data must have NDArray type, but got M*L,mIX?/pB@,?g-)iMQe8u9Gpbw.
* Argument data must have NDArray type, but got <b[*/6UNukO/j5p/T3)4zs[(F^lBx_{$gS(+|YzO{}aS5O2^ :kM%g#(|BrVDA
* Argument data must have NDArray type, but got Y:-fQS^cQo_(Vs0RD $4U-0?Xe}IO:M^	O&tte1%Ay2i':u.lxTlt,fo{*!'qn # \?j?",0,737,43,0.0,1000,0,7402.19,0.36
mxnet.ndarray.contrib.multiboxtarget,"* Argument label must have NDArray type, but got DC""b|	Iex|]-NmK*jQ<-~]G""X9I"": Z)K#[0)/b'sO^KC,nOeVoW0$'|!M&H-?YZ&F"">
* object of type 'int' has no len()
* Argument anchor must have NDArray type, but got LWr}x:,""4RQL}S}:9<cKc#G'pS[	2\ )xayYj!*K~iXBIE'R10yBp_6PZr
* Argument anchor must have NDArray type, but got |
* Argument anchor must have NDArray type, but got x3x`TDJW0$\^-pwA847pB6Q3!ec!~n6kBy*Hs+3mpk.rGN#NPF8!HKxz`O2d#BP",0,563,92,0.0,1000,0,5668.18,0.96
mxnet.ndarray.contrib.multiproposal,"* Argument bbox_pred must have NDArray type, but got True
* object of type 'float' has no len()
* Argument im_info must have NDArray type, but got }u?^hTY=JBX8+-BhOl=z(:	1*>`(|h10B0:xh>aK
* Argument bbox_pred must have NDArray type, but got Fm*Op3LO$2A9dG@++natN9)|Svj50oJ;32V+;F?%:m=}1l>~R9ntqtO
* Argument bbox_pred must have NDArray type, but got [5}/uw3/jroL:	""~I6Mjlx{iZ=i\",0,610,62,0.0,1000,0,6139.51,0.69
mxnet.ndarray.contrib.proposal,"* Argument cls_prob must have NDArray type, but got 0.001162525102443296
* object of type 'float' has no len()
* Argument bbox_pred must have NDArray type, but got 9[nOSU
* Argument im_info must have NDArray type, but got 1c!~l
* Argument im_info must have NDArray type, but got 2w:YT6F:I![Ci].k	(@0ggZ~atOE0",0,566,54,0.0,1000,0,5698.94,0.81
mxnet.ndarray.contrib.psroipooling,"* Argument data must have NDArray type, but got (`?DRkJ\Jhjc$c8CKG'pgd=ejMu@Rn~CwD*eKurXM#iM
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got HP5{GqGh&?@w*pb[^GJ6)_t;GRj+	k.c^ 3<0~=dFz<Y2.:sCK2+A^A10IZ?t7? -%-Sd
* Argument data must have NDArray type, but got ]/^t3#z4}h~fC)Dm.fr[_r|	<pcqku*?OQXfikd;5*]Kbn8>JX0_\E}7#nU7,u7|kZ=j',$Hf+!AUc-i4\ 	IyhPSqC5Vpi!Y]$DU+QKqi$|G(R
* Argument data must have NDArray type, but got .XV9&&;h^sF<]j}ncTdi""vcz\PXT&N/F@$};v8)E|d,S=	&)D!Y+-` e(1Tu-E}=b/",0,830,39,0.0,1000,0,8360.99,0.11
mxnet.ndarray.contrib.quadratic,"* Argument data must have NDArray type, but got 126
* object of type 'int' has no len()
* Argument data must have NDArray type, but got NFB0
* Argument data must have NDArray type, but got 1h|$-PVQ2Z0<8
* Argument data must have NDArray type, but got ;k*nj5%q^x[K`)[ ^/Z/W@mohA8PJtm-i#tB3g'jL_^#3OvmiHHwY)ms3}+1`\ N+Nd=e<0`.!	Oh*$Gg7'EEX/.B",0,707,35,0.040000000000000036,1000,40,7102.89,0.29
mxnet.ndarray.contrib.quantize,"* Argument min_range must have NDArray type, but got 4.190236667737916e+307
* object of type 'bool' has no len()
* 'str' object has no attribute 'handle'",0,158,3,0.0,966,0,1604.71,2.36
mxnet.ndarray.contrib.quantize_v2,"* object of type 'float' has no len()
* Argument data must have NDArray type, but got -1.87981659057839e+38
* 'str' object has no attribute 'handle'",0,657,3,0.07999999999999996,1000,82,6602.77,0.24
mxnet.ndarray.contrib.quantized_act,"* Argument max_data must have NDArray type, but got -1560229942
* object of type 'float' has no len()
* Argument data must have NDArray type, but got NuxwQ}awT:eK{CVd$;X]]\H'H*NiAM,G]?m w=83:]OX<6y;v0jkK}%I'_zR|^/zUQYb7rJw_xa6x
* Argument data must have NDArray type, but got 	Y%}9V>,ln}o61sA&$	),{oM
* Argument data must have NDArray type, but got )""Js&4FTCr<j98wp%Ad+_q;-y\RsMjbhN0Gd[n""wy%jRmU\HGcAd\R",0,595,32,0.0,975,0,5989.56,0.56
mxnet.ndarray.contrib.quantized_batch_norm,"* Argument max_data must have NDArray type, but got 8.081180985857128e+307
* object of type 'bool' has no len()
* Argument gamma must have NDArray type, but got 6pBJymoIf vn&F/Ctx.l*5%""s~d>`!""%+!T_@EeX3wjkP oh	;;Pzrh
* Argument data must have NDArray type, but got !(yD,5wcjvTkPJM;vP=Sp|Gh4dJ7gI@8zIa5[KX1c	Ez\x#_k>""XCQ%#B5Bvz+> zy7DWLA[2{T,VC0*AxGHPZ$:?>#A7l'K%<""lr``oX)G}~up !#Q|*:1&SV
* Argument moving_var must have NDArray type, but got Vg181`>fm? `ltqi['",0,344,119,0.0,1000,0,3488.28,1.83
mxnet.ndarray.contrib.quantized_concat,"* object of type 'float' has no len()
* 'str' object has no attribute 'handle'",0,846,2,0.0,995,0,8499.21,0.1
mxnet.ndarray.contrib.quantized_conv,"* Argument weight must have NDArray type, but got -1.855308051833947e+38
* object of type 'float' has no len()
* Argument bias must have NDArray type, but got k1!
* Argument data must have NDArray type, but got }*7$K:/#Mv8PZD
* Argument bias must have NDArray type, but got ERAkXK\)J4|k aS7dE=""",0,302,63,0.0,1000,0,3090.06,2.1
mxnet.ndarray.contrib.quantized_elemwise_add,"* Argument lhs_min must have NDArray type, but got 4.29761596636301e+307
* object of type 'float' has no len()
* Argument lhs_min must have NDArray type, but got BG<7v3Jo'9BBTvOW7Ll0K<?	.H\cjHDu+?O`/n5ym\I$""uOCbZ/{|/t& 
* Argument lhs_min must have NDArray type, but got GZ&O+tq{fMGy/
* Argument rhs_min must have NDArray type, but got LS%:=KIM%)A_f{UcsnYv'H(H",0,361,147,0.0,994,0,3653.18,1.73
mxnet.ndarray.contrib.quantized_flatten,"* Argument max_data must have NDArray type, but got 1661855982
* object of type 'bool' has no len()
* 'str' object has no attribute 'handle'",0,176,3,0.0,964,0,1783.87,2.21
mxnet.ndarray.contrib.quantized_fully_connected,"* Argument data must have NDArray type, but got -8.89402299236984e+307
* object of type 'float' has no len()
* Argument bias must have NDArray type, but got a3{]7
* Argument data must have NDArray type, but got G@-B'YN!
* Argument data must have NDArray type, but got iDDIq*!AU_,#\W dqY3*!^ `*}}WLobI:qRnok'""H7%k6gGhHr*",0,308,54,0.0,1000,0,3133.38,2.36
mxnet.ndarray.contrib.quantized_pooling,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got x|Kdi-a+1Nrc5d{}:=knF(%$+	mrsg
* Argument data must have NDArray type, but got 	jr^b}}Nz).f6_AclJ$<eCTl^wa
* Argument data must have NDArray type, but got q?_o",0,636,40,0.0,1000,0,6434.4,0.64
mxnet.ndarray.contrib.rand_zipfian,* 'str' object has no attribute 'as_in_context',0,642,1,0.27,1000,265,6455.66,0.05
mxnet.ndarray.contrib.requantize,"* Argument data must have NDArray type, but got 64657141
* object of type 'bool' has no len()
* 'str' object has no attribute 'handle'",0,214,3,0.0,1000,0,2165.17,2.26
mxnet.ndarray.contrib.roialign,"* Argument data must have NDArray type, but got [5  .[RJ@
* object of type 'int' has no len()
* Argument data must have NDArray type, but got 4P2+rk_Xf,T[.A;*YfBx(;s^#g:Dt	wzdRsdlxU~ BE~X""auAH/4r;J.MCyEjGC+lKox<CkQbAbr4;M~/~
* Argument data must have NDArray type, but got e@*,L;XIOF:=
* Argument data must have NDArray type, but got 8'U",0,838,32,0.0,1000,0,8431.8,0.12
mxnet.ndarray.contrib.round_ste,"* Argument data must have NDArray type, but got )7{UsZD5K 5aL@d;[l_y.Wg$P.	""{PVB,5aUuU4&y&~rRm5n2\xwu0qXm!jiR8vy2G?s|5:+]u<<+j?4eT|)XwC;sU+{?Qj{/kCSq
* object of type 'float' has no len()
* Argument data must have NDArray type, but got ,P@		F/ImT`kU]4-T dER3eu-	TKUWxsz/Q{5Po'>k5kicGx?Rd|1$D""5Aih	V
* Argument data must have NDArray type, but got B01r(UZpf-""z)B$EABr+~M_-k43__*J;Nn=&QB_/""~T""{
* Argument data must have NDArray type, but got J,	.CBx0jp3{<n^)N9`B8UUf	~A]D+sXZ<]afcU*93*~gdYH` %nzqALm#5EVl&4.C3""mArOi?AeO~hZH!f",0,479,31,0.17000000000000004,862,150,4817.39,0.25
mxnet.ndarray.contrib.rroialign,"* Argument data must have NDArray type, but got W)0PzhgS:Ym#j1
* object of type 'int' has no len()
* Argument data must have NDArray type, but got cia:TtTnD74n~7kjU(erT^VfSh=@6r<{eA="" ECK&x:(NJQ;w3,FbuKd``@XoD<$*VM
* Argument data must have NDArray type, but got 4d
* Argument data must have NDArray type, but got WS; r_}LoiI8)ywh\1P",0,824,37,0.0,1000,0,8291.8,0.15
mxnet.ndarray.contrib.sign_ste,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got ""3!SXkq5 .4a}x;Fy}O>4Fuj$R]1Zlaa!e@`~L{rQZ45sU3J^	UB<Ro PGa]RpU%d]JAXo?__38VG#
* Argument data must have NDArray type, but got 9l^]@*B$G7b* uf:P>h&""&""YuX^(vxw~<i2f
* Argument data must have NDArray type, but got TlG)QNFLFX4KY/g~w~w~5f,qt{W$zpG;V>oGh-ppDO""iw P=S*G@ww]<,eDk3-p+ou,9Q1nZfYYT>|9Xv5g.",0,437,26,0.18999999999999995,867,165,4396.62,0.31
mxnet.ndarray.contrib.sparseembedding,"* Argument weight must have NDArray type, but got 211
* object of type 'int' has no len()
* Argument data must have NDArray type, but got `oc?^}^`*k\
* Argument data must have NDArray type, but got rC
* Argument data must have NDArray type, but got !-rvxw*]4K=Q.{/	<Yk$H'9#S?Og	W ~""EG41jceV&Rv8w/EY@06AV~=y}wS|X7vu:7bMaeFneH*xC",0,672,46,0.0,1000,0,6772.14,0.44
mxnet.ndarray.contrib.syncbatchnorm,"* Argument beta must have NDArray type, but got 32250
* object of type 'float' has no len()
* Argument data must have NDArray type, but got q
* Argument gamma must have NDArray type, but got H*h`XW88#wAV8dU`!G/8f_AAt	|
* Argument data must have NDArray type, but got a6$h""6$ZP'ADb=XD6#bu",0,464,78,0.0,1000,0,4687.29,1.26
mxnet.ndarray.contrib.while_loop,"* 'int' object is not callable
* object of type 'float' has no len()
* loop_vars should contain at least one element
* max_iterations should be specified",0,0,4,0.0,1000,0,31.47,2.92
mxnet.ndarray.convolution,"* Argument weight must have NDArray type, but got -243486567
* object of type 'bool' has no len()
* Argument bias must have NDArray type, but got x !z^-[*oRWOtP\<ra~$zCkr4y*Hr't^
* Argument data must have NDArray type, but got rTPNzCbs67pBiD5Gr
* Argument bias must have NDArray type, but got 9vnMn]oB9)FhvJAg+~2U8s}5R$u2n~c(ue;XPycA ~d{aODam	XI5",0,582,69,0.0,1000,0,5883.01,0.74
mxnet.ndarray.correlation,"* Argument data1 must have NDArray type, but got 2.7317537044996796e+38
* object of type 'int' has no len()
* Argument data1 must have NDArray type, but got Um&*fOi>|H_a!?/kiCkQ3Piux73:3f$REXvqS1c8BLg 3eloW2,en(Rk8\`cn+v%g{\/b!`pO)KL|`T/6')q|tfQ`!J{1D'+Z\g?-cUupAg)w!.>)BW$<""PZAt{d
* Argument data1 must have NDArray type, but got ChLk1T->NszhQ{d>%
* Argument data2 must have NDArray type, but got bj7PF(""j",0,676,68,0.0,1000,0,6797.91,0.44
mxnet.ndarray.cos,"* Argument data must have NDArray type, but got True
* object of type 'float' has no len()
* Argument data must have NDArray type, but got ,DoO?q@*q:Dx^o2*&""Kv1zE
* Argument data must have NDArray type, but got %HiN0~hQs|:(LPq	F:QR[a4ra3lX2f1c/b|\CVw|~ |YLU}31TzcvC""i5 $jV(Mw~87*)`5|NQPv[u+=Db	u"";[Q|<N\Mu1F	&.:9B_ /4!Y-^[-.wqRJT}yM
* Argument data must have NDArray type, but got J6'#w}t		@5a$tbV,ld",0,443,38,0.18999999999999995,868,165,4457.02,0.29
mxnet.ndarray.cosh,"* Argument data must have NDArray type, but got 22884.85484812304
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got X,kWC@I
* Argument data must have NDArray type, but got #k']p[_zW*(GkxT6j@	~ab+RKG3[?AUgB+wzqC9ND-	[O\htF'W{'Rc(+,-ywNGnG@vI:_S>)Eh6,B>_=AS%NGrB7DpBcQuKV*CP'Lx`4nyQ
* Argument data must have NDArray type, but got C:]#W6f$[}T~",0,476,28,0.16000000000000003,857,140,4786.67,0.27
mxnet.ndarray.ctc_loss,"* Argument data must have NDArray type, but got 195
* object of type 'float' has no len()
* Argument data must have NDArray type, but got Du
* Argument data must have NDArray type, but got j7+:{SgG&a!>yB>UKu'[`37[<IG7 A)h""WZXZ`U@k2\eg3G[aN3Rr@rHfN]-E(6L`u- rct?l(^i525VD._eOMPx9{+#/x7SIO>HN0_
* Argument data must have NDArray type, but got oPFEy]}W1[QN M.KmL tDcdl4mOdVH$r|ryYV#8%>[tq|zXOCLBHwqWG#@$uT\gtdjX?'d~M6#R`,Y4-wiIUH=3C,LyUfjN^7q'NPruFEu/ZJg~M.&*ZCM{+Ks",0,658,64,0.0,990,0,6616.43,0.48
mxnet.ndarray.ctcloss,"* Argument data must have NDArray type, but got 2.1022338766522824e+307
* object of type 'bool' has no len()
* Argument label must have NDArray type, but got 7/9&qV	dr}pOt=JsbA+3`43MQ.J|S=N)-POz+qG*Drlp@-Q(P#mz,d/(A5oJL[&0r(=!`]K5ryd42y	l;BCZR)%e=~BJ:vR	BZ@ZQ1le
* Argument data must have NDArray type, but got #fq%.XM<XNL&=oR#W;Yf;OviZUla@kFOP
* Argument label must have NDArray type, but got ",0,654,73,0.0,998,0,6577.07,0.56
mxnet.ndarray.cumsum,N/A - no exception,0,310,0,0.06999999999999995,543,36,N/A,N/A
mxnet.ndarray.custom,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,856,2,0.0,989,0,8601.28,0.11
mxnet.ndarray.deconvolution,"* Argument weight must have NDArray type, but got 269706694041323631
* object of type 'float' has no len()
* Argument bias must have NDArray type, but got ?1@S7i[c]Y#~%glyxi-n8
* Argument data must have NDArray type, but got SEn[:r1JHO9ip
* Argument data must have NDArray type, but got Ph(f;X3C&y'	ZV,&NA/ON5Lyp:VRn:POJ)U+5&c|h*|lmZHe`%9S@Y!^}hpN}gL""qNCneK:-X#@""H&yjgzL!8Y&/azd[`",0,612,58,0.0,1000,0,6195.24,0.76
mxnet.ndarray.degrees,"* Argument data must have NDArray type, but got -4.826353375122768e+307
* object of type 'float' has no len()
* Argument data must have NDArray type, but got <X#|;W2fI`aU<Zj""'0?jS8X
* Argument data must have NDArray type, but got )ornA|G#JZaUpm*G+	yq~,@'NA+n:wvjT(}=%M}(e<tpChT\Wl^>QUjhoqb ]Wk.{T(h
* Argument data must have NDArray type, but got csB}9J5,y' r<N46s'; [m[VW9IgN4L[6rS0;vmq|",0,471,43,0.18000000000000005,864,153,4738.9,0.34
mxnet.ndarray.depth_to_space,"* Argument data must have NDArray type, but got W?HP]t'|t0Ecrn2M{{uC7p7v3? qyc3=l[%T1)\5vGbsXh9Tp7zJzh(ymQ\dCoDr!+	{~|~^?SsJo4YNQRFP/}(j|PWL4Z.PKEcX>de}k@'J@G,`Y9/wOx+#=yrXvV|n&tT;iW?DrfM6JN.0B9Opx^E
* object of type 'int' has no len()
* Argument data must have NDArray type, but got BSUma+czeI>T4B:~fhFqaRI_.54\#MtVPV
* Argument data must have NDArray type, but got +MwU{dR:iRE^#-e(z~AYU#15Q`1a*w}<UF<l}qqX.G7%w&='WeX
* Argument data must have NDArray type, but got S|.O@aAU""w[	Lc6e=Od5'Eb^B3	f$dPK%dN3)et[2wF'tEixV/XSDO3'*JP[XA-GqB.ux*5zR^{h",0,730,37,0.0,1000,0,7342.05,0.36
mxnet.ndarray.diag,N/A - no exception,0,366,0,0.020000000000000018,517,12,N/A,N/A
mxnet.ndarray.divide,* float division by zero,0,0,1,1.0,1000,997,17.14,0.01
mxnet.ndarray.dot,"* Argument lhs must have NDArray type, but got -1276130467
* object of type 'bool' has no len()
* Argument rhs must have NDArray type, but got )nY!<""ywB{>\Q1LPr_[pT1H.FcH4BWrj`[<)\,unfc]C7*	Z
* Argument lhs must have NDArray type, but got {}d'|OC~:^O23{9}(x=P*09 t#ah0!:|boqjye]_%'$t
* Argument lhs must have NDArray type, but got RA1r%<`W/c<NmL ZFRS LC{G)ap}`D5{s	2/3;:M)m'h7O]P!^.-2`P46&,^v4tm}PHGx1dNiMBspX#yAGEjslw.C6'3|9Jv*Y]_,iZ7~KCHR3vAfhQx/P;<MCj'}{{	J=a !w	FI^iCVcCa?BthLv\OB4~Y	+P9ykrZeP)b%!98^f?FX::Al=4cP\Da'NF)D3Ts%bN+[$rwSD,y.BvX]Pd_[Dw?GUp^v|bH46]",0,567,71,0.0,940,2,5703.3,0.74
mxnet.ndarray.dropout,"* Argument data must have NDArray type, but got -12032
* object of type 'int' has no len()
* Argument data must have NDArray type, but got bAR#U?'i~Zi FVaf'`tF89xP\s\<%8pnOs.9'!vE!qxVF_
* Argument data must have NDArray type, but got t.f)M.
* Argument data must have NDArray type, but got 3;&?&U+9p_>",0,743,45,0.0,1000,0,7461.37,0.29
mxnet.ndarray.elementwisesum,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,847,2,0.0,991,0,8506.37,0.07
mxnet.ndarray.elemwise_add,"* Argument rhs must have NDArray type, but got 35991.24377366909
* object of type 'float' has no len()
* Argument lhs must have NDArray type, but got 	Bq1Z Gy5|#}W4B52	P 7k<D$G%N[1I+Vl@	(M	+_?YANe%SwJ\\IZ{{PI&=\nSP(<&y6GH<-2=:cIU|+eoY)	`^Q'uqJ(xhl{!;
* Argument lhs must have NDArray type, but got 2*>e&oc=Xh9
* Argument lhs must have NDArray type, but got >cD-bF	Yk^]&}-Zg6js`m(_=WX'#@MWu8+%d}#-pC2",0,581,56,0.0,921,2,5841.52,0.46
mxnet.ndarray.elemwise_div,"* Argument rhs must have NDArray type, but got -4.726434849383593e+307
* object of type 'float' has no len()
* Argument lhs must have NDArray type, but got R90\l~&0|%1GLv-	QS*`QWF^0N0N 7HE;$!>0!`f(s2Ak<,?Wj_=$@ UAdW3_g%/#TKTJ7?oQ>pih^t$s;YFZRp/l[(^3?!@
* Argument lhs must have NDArray type, but got PXuE=Q""D'lyw4-
* Argument rhs must have NDArray type, but got [d,B#%aVLv^p~\p4x*zxH7CXKY3%s*3U^TnK7@%;ODLhP}5L~WUg1",0,584,58,0.0,938,3,5872.39,0.47
mxnet.ndarray.elemwise_mul,"* Argument lhs must have NDArray type, but got 6008.107455736623
* object of type 'int' has no len()
* Argument rhs must have NDArray type, but got [F2O'I_g)@0
* Argument rhs must have NDArray type, but got z4JESbGDJYGx4py?Y>/1zS$RN r~*'$V)9(JUwe9iRN?T,4>,eA{.^[Geiy""Ij#mOD[&cXP];^^TQ^%!]C,C06)Td'S5	-^1& Y]nyCpnMyA3+](Q0WL$y:AO|X>PR@a-Brj)Zge^U/,bJiX	34iH\w3un<4YMc
* Argument lhs must have NDArray type, but got 3Bf	wwS$fiFVb{%~w7/C	[DX!?X-rit,0QZ)a,nye&y`]9g)uFb6	jYmC)rC8&Wk`5yrG~kg98{5+xC(6""54,!Eh9@K	HKH(Q/'%b	`P	fN7>fQ>w7\@uSMezOtGN&F@l@a=KzN",0,583,53,0.0,923,1,5862.71,0.45
mxnet.ndarray.elemwise_sub,"* Argument rhs must have NDArray type, but got -7.085161577117274e+307
* object of type 'int' has no len()
* Argument rhs must have NDArray type, but got JoP+Z\H^F []M3f[A5>5)WV=u[7zue#80}r1DuJ[?<`p.sGrI4&n'jTqE&dXj'LN	o$	j*NCMJO<QrpTEjUN'V#Br}'5}M4@<9#>R~rLyp%""{V.^IHc2s0DQh#5( |#frTD6$+M]NE|Q1vq4K)%G0xieXZ-qvTq+,n
* Argument lhs must have NDArray type, but got {1yr34R""TZU}L]P//`
* Argument lhs must have NDArray type, but got ""|F>UyX}qsFx2""h,1/BOGX }jS_Ut^9>F/w""pxC",0,566,66,0.0,942,0,5692.49,0.61
mxnet.ndarray.embedding,"* Argument weight must have NDArray type, but got -853116757
* object of type 'int' has no len()
* Argument data must have NDArray type, but got 
* Argument data must have NDArray type, but got OWIV
* Argument data must have NDArray type, but got 2KcH[+)k@hK[U",0,668,41,0.0,1000,0,6729.11,0.47
mxnet.ndarray.empty,"* format number 1 of ""b'1ax_4QO:/d`mZ6lmA5zeh/YKwI?\nuv7r2l7\'1v_1GixlEes)paxe$mX:V}55&I;aEpr9FMHM\x0c<v)oJew/jy@Rq\tFts3\t$H?A[P4m\t\\#6<\x0ct{+{czvZ8gdH]a=7|Q>bS\\?8=jh:l/|&{8M&\n{QF1ai3D%Tu*\tcK]+z4?m!mdZ7I^%pIw\x0cW6Q!==[*/a(PFFkuwjQ\n>*g~H.v\x0c:{j7QEdkJn:<ve\x0c""cNk`}\x0b>[m0vkHffV6p!\x0bD4m):?k*1\rfY5O\'%$AvH7O\'2FlT5=T*GfA}M:I6*{b)""a@&5'"" is not recognized
* <class 'numpy.int16'>
* unknown stype : eiBYR3v4es=oZ
* unknown stype : x|RyAptj,Qk1#l^Yh>~2aU2skf!GJeSg\Z3
* unknown stype : =LSEH|<'.8K9",0,35,524,0.030000000000000027,999,26,370.58,3.95
mxnet.ndarray.equal,N/A - no exception,0,0,0,1.0,1000,1000,15.55,N/A
mxnet.ndarray.erf,"* Argument data must have NDArray type, but got 12070
* object of type 'float' has no len()
* Argument data must have NDArray type, but got jB`_0&! bT~6d{e0_hV|mDN.u?HH
* Argument data must have NDArray type, but got .U1YF1_JSIQI(z\8=Xx#QT	iPVZ_z>Q4=^
* Argument data must have NDArray type, but got VD2YSvY!-l*CE?MS9qs46rG&<Q=;4U<w<`5zH7tC/Rk<==O&\1-3;W	SFsA=3]vFcL=O A",0,467,43,0.19999999999999996,880,177,4696.85,0.22
mxnet.ndarray.erfinv,"* Argument data must have NDArray type, but got 3.3356861996590584e+307
* object of type 'int' has no len()
* Argument data must have NDArray type, but got B(;rbRaz!
* Argument data must have NDArray type, but got ](_lH4\a-lgT;&ez@,=e ""bMB:}
* Argument data must have NDArray type, but got ?""@){wF@eG20KiR[wjB",0,486,43,0.17000000000000004,852,147,4886.41,0.22
mxnet.ndarray.exp,"* Argument data must have NDArray type, but got True
* object of type 'float' has no len()
* Argument data must have NDArray type, but got bQ9'H8Hwsq-kdb[(Q?W8']S3?;Y';tHARZEEFe>{Y-=HCgxR0+DjYtN<'mG?@{@8VyHNEW;	vubv
* Argument data must have NDArray type, but got EM!7hPhKPyhoeDRl}* 7j#l]}(Q;^s
* Argument data must have NDArray type, but got scp+.g?)E_#( 	5W'&:COXNB@\aliOV*[?w	t1OI3Q6b2`#SR4?F]t*{#W0",0,447,44,0.18999999999999995,858,163,4496.5,0.29
mxnet.ndarray.expand_dims,"* Argument data must have NDArray type, but got 2.3508371508610726e+307
* object of type 'float' has no len()
* Argument data must have NDArray type, but got Y6VC2;
* Argument data must have NDArray type, but got tLB:]$N/B`"".""WuGaP^6:_7/LXoJ	{Yh[]m""Z4
* Argument data must have NDArray type, but got T-l0X]?CL	H7,d'Q<mVSR-6U3/@61%87\dz3QSU14SWB.fKT]?-28FszRNgT9(3{VTt_t((~m6'\M=NaPXd9@e$B?LZP{OV5mmCa&",0,750,48,0.0,998,1,7532.34,0.27
